NR_CONVENIO;ID_PROPOSTA;DIA;MES;ANO;DIA_ASSIN_CONV;SIT_CONVENIO;SUBSITUACAO_CONV;SITUACAO_PUBLICACAO;INSTRUMENTO_ATIVO;IND_OPERA_OBTV;NR_PROCESSO;UG_EMITENTE;DIA_PUBL_CONV;DIA_INIC_VIGENC_CONV;DIA_FIM_VIGENC_CONV;DIAS_PREST_CONTAS;DIA_LIMITE_PREST_CONTAS;SITUACAO_CONTRATACAO;QTDE_CONVENIOS;QTD_TA;QTD_PRORROGA;VL_GLOBAL_CONV;VL_REPASSE_CONV;VL_CONTRAPARTIDA_CONV;VL_EMPENHADO_CONV;VL_DESEMBOLSADO_CONV;VL_SALDO_REMAN_TESOURO;VL_SALDO_REMAN_CONVENENTE;VL_RENDIMENTO_APLICACAO;VL_INGRESSO_CONTRAPARTIDA
803435;856929;12;8;2014;12/08/2014;Prestação de Contas Aprovada;;Publicado;NÃO;SIM;269992014;175004;14/08/2014;12/08/2014;31/07/2017;60;29/09/2017;Normal;1;1;;247000;245850;1150;245850;245850;;;;1565,42
806348;860915;6;8;2014;06/08/2014;Em execução;Em ajuste pelo concedente;Publicado;SIM;SIM;302732014;175004;18/08/2014;06/08/2014;06/04/2018;30;06/05/2018;Normal;1;3;;1263645,24;987600;276045,24;987600;987600;;;;281449,74
790877;720722;11;12;2013;11/12/2013;Prestação de Contas Aprovada;;Publicado;NÃO;SIM;354302013;135003;18/12/2013;11/12/2013;11/12/2015;60;09/02/2016;Normal;1;1;;104200;100000;4200;100000;100000;7902,6;331,91;;4200
815185;925790;30;12;2014;30/12/2014;Em execução;;Publicado;SIM;SIM;566442014;250107;13/01/2015;30/12/2014;30/12/2017;60;28/02/2018;Normal;1;2;;1162350,47;1000000;162350,47;1000000;50000;;;;
809721;854609;22;7;2014;22/07/2014;Em execução;Em ajuste do Plano de Trabalho;Publicado;SIM;SIM;252102014;175004;25/07/2014;22/07/2014;17/07/2018;60;15/09/2018;Normal;1;3;;493600;493100;500;493100;394480;;;;292,06
771270;572498;7;12;2012;07/12/2012;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;011187/2012;135098;14/12/2012;07/12/2012;30/06/2017;60;29/08/2017;Normal;1;6;1;266727,42;243750;22977,42;243750;243750;60357,41;;;26250
785305;722278;6;11;2013;06/11/2013;Prestação de Contas Aprovada;;Publicado;NÃO;SIM;036256/2013;135098;11/11/2013;06/11/2013;06/09/2015;30;06/10/2015;Normal;1;1;;153390;146250;7140;146250;146250;2400,85;117,21;;7140
811746;911425;29;12;2014;29/12/2014;Em execução;;Publicado;SIM;SIM;23116007078201500;154042;08/01/2015;29/12/2014;31/10/2018;60;30/12/2018;Normal;1;6;;940000;940000;0;940000;940000;;;;
796773;785990;31;12;2013;31/12/2013;Convênio Anulado;;Publicado;NÃO;SIM;25100030564201300;255000;20/01/2014;31/12/2013;31/12/2015;60;29/02/2016;Normal;1;1;;635000;622300;12700;0;;;;;
828890;1055654;23;12;2016;23/12/2016;Em execução;;Publicado;SIM;SIM;49732016;175004;26/12/2016;23/12/2016;30/12/2017;60;28/02/2018;Cláusula Suspensiva;1;;;252200;245850;6350;245850;;;;;
803241;877392;12;6;2014;12/06/2014;Em execução;;Publicado;SIM;SIM;394622014;180006;20/06/2014;12/06/2014;30/12/2017;60;28/02/2018;Normal;1;1;1;299501,4;299201,9;299,5;299201,9;299201,9;;;;299,5
828596;1058580;14;11;2016;14/11/2016;Em execução;;Publicado;SIM;SIM;72942016;175004;17/11/2016;14/11/2016;31/12/2017;30;30/01/2018;Normal;1;;;260000;245850;14150;245850;;;;;
770772;596190;24;8;2012;24/08/2012;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;024593/2012;135098;28/08/2012;24/08/2012;24/11/2013;60;23/01/2014;Normal;1;2;;113400;97500;15900;97500;97500;;1673,95;;15900
804581;845124;12;9;2014;12/09/2014;Em execução;;Publicado;SIM;SIM;181252014;540007;19/09/2014;12/09/2014;31/12/2017;60;01/03/2018;Normal;1;1;;250000;243750;6250;243750;243750;;;;6250
795513;794624;18;12;2013;18/12/2013;Em execução;;Publicado;SIM;SIM;849312013;110669;27/12/2013;18/12/2013;31/03/2018;60;30/05/2018;Normal;1;3;;316467,5;250000;66467,5;250000;250000;;;18672,4;66681,68
776168;621163;31;12;2012;31/12/2012;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;037260/2012;550015;11/01/2013;31/12/2012;20/03/2016;60;19/05/2016;Normal;1;2;;275510,2;270000;5510,2;270000;270000;22400,55;;;5470,01
